,0,1,2,3,4,5,6,7,8
Row44,2.8647e-05,37597.0,2.8294e-05,3.0061999999999998e-05,37141.0,37622.0,384.6,149370.0,3.0
Row45,2.9398000000000002e-05,37024.0,2.9105e-05,3.071e-05,36710.0,36641.0,380.17,146440.0,3.0
Row46,3.2612e-05,33589.0,3.1695999999999996e-05,4.944e-05,31601.0,36902.0,378.74,147940.0,3.0
Row47,3.0068e-05,37043.0,2.9417e-05,3.2809000000000004e-05,36180.0,37439.0,381.69,149150.0,3.0
Row48,3.7935e-05,30039.0,3.7186999999999995e-05,4.1123e-05,29505.0,30135.0,341.39,120080.0,3.0
Row49,2.4602e-05,42607.0,2.4016999999999997e-05,2.7083e-05,41662.0,42773.0,410.31,170040.0,3.0
Row50,2.2778e-05,46118.0,2.2369000000000002e-05,2.4480999999999998e-05,45167.0,46803.0,428.89,185780.0,3.0
Row51,1.9536e-05,51980.0,1.9018e-05,2.1673e-05,50595.0,52377.0,456.82,209300.0,3.0
Row52,3.2715e-05,31576.0,3.2113e-05,3.5274e-05,30975.0,31533.0,353.63,125730.0,3.0
Row53,3.3796999999999995e-05,30663.0,3.3097e-05,3.6698e-05,30064.0,30487.0,347.48,121490.0,3.0
Row54,3.0905e-05,33153.0,3.0075e-05,3.4312e-05,32305.0,32953.0,361.98,131620.0,3.0
Row55,2.4683e-05,43984.0,2.4171999999999998e-05,2.6763e-05,43060.0,43602.0,413.43,173880.0,3.0
Row56,2.5171e-05,42536.0,2.4756999999999997e-05,2.6938000000000002e-05,41852.0,41989.0,406.78,167880.0,3.0
Row57,2.938e-05,38170.0,2.8797e-05,3.1748e-05,37346.0,37369.0,382.32,149970.0,3.0
Row58,3.6453000000000005e-05,28454.0,3.5971e-05,3.8382e-05,28098.0,28569.0,335.85,113480.0,3.0
Row59,4.0397e-05,26916.0,3.9828e-05,4.2736000000000006e-05,26575.0,26751.0,323.94,106490.0,3.0
Row60,3.4989e-05,29695.0,3.4246e-05,3.8095e-05,29067.0,29496.0,342.2,117860.0,3.0
Row61,3.091e-05,35174.0,3.0124e-05,3.4056e-05,34369.0,35865.0,372.27,141070.0,3.0
Row62,3.2936e-05,33811.0,3.2322e-05,3.5393000000000005e-05,33188.0,35014.0,365.22,136250.0,3.0
Row63,3.2878e-05,35951.0,3.2041999999999996e-05,3.6543e-05,35108.0,35723.0,370.07,142140.0,3.0
Row64,4.0419e-05,29086.0,3.9505e-05,4.4257e-05,28451.0,28948.0,333.32,115430.0,3.0
Row65,3.453e-05,33802.0,3.3876e-05,3.7285e-05,33108.0,34047.0,362.73,135810.0,3.0
Row66,3.1666e-05,34234.0,3.1151999999999996e-05,3.3828e-05,33661.0,34143.0,366.76,136320.0,3.0
Row67,3.103e-05,34760.0,3.066e-05,3.2526999999999995e-05,34372.0,34822.0,370.11,138660.0,3.0
Row68,4.2165e-05,26972.0,4.158e-05,4.4553e-05,26572.0,26997.0,322.85,106810.0,3.0
Row69,4.1511e-05,26842.0,4.0704e-05,4.491e-05,26335.0,26454.0,321.6,105940.0,3.0
Row70,4.0416e-05,27037.0,3.9619e-05,4.3923999999999995e-05,26488.0,27051.0,324.42,107240.0,3.0
Row71,3.294e-05,31706.0,3.2315e-05,3.5566e-05,31085.0,31574.0,353.62,126080.0,3.0
Row72,4.7528e-05,22536.0,4.6711e-05,5.0963999999999995e-05,22140.0,22478.0,297.06,89351.0,3.0
Row73,4.9405e-05,22237.0,4.8641000000000004e-05,5.2508e-05,21878.0,22072.0,294.33,88171.0,3.0
Row74,4.7492e-05,22314.0,4.6413000000000004e-05,5.206e-05,21818.0,22174.0,295.77,88349.0,3.0
Row75,2.4005e-05,43959.0,2.3619000000000002e-05,2.5619e-05,43217.0,43707.0,416.14,174900.0,3.0
Row76,2.5546999999999998e-05,42715.0,2.5116999999999997e-05,2.7361999999999997e-05,41911.0,42809.0,409.51,170290.0,3.0
Row77,2.9083000000000003e-05,39729.0,2.8683000000000003e-05,3.0859000000000004e-05,38938.0,40406.0,395.23,160360.0,3.0
