,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Row26,23910.0,544.04,13.038,1.0749,23525.0,25629.0,107.05,244.38,0.4671,1393000000.0,6302000.0,12.529000000000002,0.14784,0.0031891,23787.0,307.32,95123.0,244.38,0.020595,1.0
Row27,23127.0,311.07,7.5899,1.0866,22634.0,25095.0,63.107,310.81,0.28881999999999997,1343900000.0,6106000.0,13.833,0.14407,0.0047847,23158.0,302.85,92287.0,310.81,0.037016,1.0
Row28,38629.0,579.19,9.0786,1.0637,38028.0,41291.0,376.13,307.79,0.7097,3302000000.0,12319000.0,13.764000000000001,0.14163,0.0025896,38569.0,389.79,153760.0,307.79,0.034275,1.0
Row29,37967.0,538.51,8.3282,1.0802,37200.0,41192.0,349.16,369.61,0.65409,3232500000.0,12088000.0,15.048,0.14029,0.0022873,38232.0,387.76,152130.0,369.61,0.0367,1.0
Row30,32312.0,428.71,6.7419,1.0487,31936.0,33882.0,335.34,336.3,0.6724399999999999,2348900000.0,9540300.0,14.31,0.13652,0.00358,32307.0,358.69,130340.0,336.3,0.043114,1.0
Row31,21596.0,191.2,4.3135,1.0606,21292.0,22814.0,117.32,485.12,0.32633,1092200000.0,5276500.0,17.338,0.1271,0.004104,21655.0,291.12,85710.0,485.12,0.05906,1.0
Row32,21378.0,473.81,7.5728,1.052,21099.0,22494.0,232.06,623.11,0.42699,990090000.0,4998100.0,19.463,0.11341,0.0032051000000000002,21267.0,288.19,84607.0,623.11,0.036131,1.0
Row33,22042.0,294.26,5.9736,1.0654,21716.0,23416.0,112.33,478.32,0.31961999999999996,1151300000.0,5509600.0,17.112000000000002,0.12825,0.0034692,22107.0,294.71,87788.0,478.32,0.044061,1.0
Row34,19323.0,847.17,16.605999999999998,1.0874,18923.0,20963.0,162.62,322.3,0.50237,839250000.0,4360800.0,14.182,0.14368,0.002274,19299.0,275.14,76680.0,322.3,0.017803,1.0
Row35,24024.0,1185.9,18.407,1.0664,23627.0,25634.0,280.12,354.01,0.6128100000000001,1244700000.0,5969200.0,14.987,0.13279000000000002,0.0014377,24176.0,307.88,96268.0,354.01,0.016978,1.0
Row36,26694.0,717.91,16.05,1.0665,26268.0,28473.0,83.76799999999999,278.79,0.37566,1827100000.0,7677700.0,13.312999999999999,0.14189000000000002,0.0034495,26936.0,326.36,107130.0,278.79,0.017001,1.0
Row37,22120.0,1126.3,16.346,1.0569,21807.0,23390.0,221.85,608.2,0.42181,1067200000.0,5277300.0,19.598,0.11281,0.0017494,22053.0,293.35,87555.0,608.2,0.017248,1.0
Row38,22418.0,823.96,12.276,1.0626,22058.0,23881.0,296.63,444.12,0.57196,1052100000.0,5270700.0,16.564,0.12625999999999998,0.0023951999999999997,22280.0,295.41,88900.0,444.12,0.024234000000000002,1.0
Row39,24922.0,873.2,13.949000000000002,1.0622,24573.0,26376.0,239.85,396.8,0.54752,1360200000.0,6317600.0,15.811,0.12835,0.0022624000000000003,24714.0,312.1,98767.0,396.8,0.021499,1.0
Row40,20577.0,396.54,6.2981,1.0817,20110.0,22568.0,361.11,614.74,0.54032,902860000.0,4701200.0,18.777,0.12322999999999999,0.0037688,20828.0,283.43,82397.0,614.74,0.044701,1.0
Row41,16434.0,438.76,8.1301,1.0497,16225.0,17272.0,128.92,505.92,0.33762,607480000.0,3422200.0,17.605999999999998,0.11762,0.0034823000000000002,16385.0,253.03,65053.0,505.92,0.034434,1.0
Row42,16096.0,476.34,8.6734,1.0586,15869.0,17032.0,153.56,431.95,0.41557,567400000.0,3274900.0,16.405,0.12593,0.0031796999999999997,16028.0,250.38,63742.0,431.95,0.030518,1.0
Row43,37923.0,203.86,3.5349,1.0397,37524.0,39516.0,115.43,850.2,0.21361,3547600000.0,12680000.0,22.99,0.09896,0.0052151,38040.0,387.23,151270.0,850.2,0.074988,3.0
Row44,37597.0,237.17,4.2649,1.0492,37141.0,39422.0,129.38,927.41,0.21833000000000002,3450400000.0,12459000.0,24.372,0.09539500000000001,0.0033003,37622.0,384.6,149370.0,927.41,0.059937,3.0
Row45,37024.0,226.59,3.9608,1.0413,36710.0,38447.0,251.48,904.55,0.35762,3170800000.0,11807000.0,23.938000000000002,0.09487999999999999,0.0046784,36641.0,380.17,146440.0,904.55,0.072099,3.0
Row46,33589.0,630.68,9.3044,2.0197,31601.0,97963.0,1032.0,358.79,0.85236,2492400000.0,10312000.0,13.13,0.23455,0.10167000000000001,36902.0,378.74,147940.0,358.79,0.35516,3.0
Row47,37043.0,925.4,10.363,1.095,36180.0,40749.0,785.63,316.4,0.83249,2656300000.0,10840000.0,13.665,0.15334,0.0023261999999999996,37439.0,381.69,149150.0,316.4,0.035302999999999994,3.0
Row48,30039.0,854.32,10.152999999999999,1.08,29505.0,32306.0,821.02,246.96,0.8695,1664300000.0,7700900.0,12.332,0.15579,0.0017099,30135.0,341.39,120080.0,246.96,0.03517,3.0
Row49,42607.0,334.9,5.9288,1.0978,41662.0,46667.0,371.2,201.94,0.7878,4024500000.0,14310000.0,11.284,0.16469,0.0044085,42773.0,410.31,170040.0,201.94,0.053591999999999994,3.0
Row50,46118.0,303.44,5.3834,1.0815,45167.0,50108.0,405.2,205.98,0.79966,4895200000.0,16564000.0,11.450999999999999,0.15987,0.0041253999999999996,46803.0,428.89,185780.0,205.98,0.058773,3.0
Row51,51980.0,291.61,7.5838,1.1102,50595.0,57731.0,121.33,118.29,0.6723399999999999,7171100000.0,21360000.0,8.6491,0.19079000000000002,0.005848,52377.0,456.82,209300.0,118.29,0.041955,3.0
Row52,31576.0,412.76,9.5186,1.0802,30975.0,34154.0,92.536,297.02,0.38392,2520900000.0,9780000.0,13.675999999999998,0.14545,0.0036079000000000003,31533.0,353.63,125730.0,297.02,0.027104000000000003,3.0
Row53,30663.0,399.76,8.6407,1.0838,30064.0,33133.0,111.78,289.2,0.43604,2310600000.0,9183100.0,13.504000000000001,0.1465,0.0037106,30487.0,347.48,121490.0,289.2,0.032438,3.0
Row54,33153.0,362.32,9.2098,1.1082,32305.0,36643.0,91.89,213.05,0.46331999999999995,2814900000.0,10537000.0,11.495,0.16752999999999998,0.0046823,32953.0,361.98,131620.0,213.05,0.029385,3.0
Row55,43984.0,524.92,7.0233,1.085,43060.0,47786.0,647.36,359.8,0.78256,3869000000.0,14171000.0,15.02,0.13828,0.0046619999999999995,43602.0,413.43,173880.0,359.8,0.047039,3.0
Row56,42536.0,590.3,8.0474,1.0686,41852.0,45394.0,519.97,331.28,0.75848,3720700000.0,13593000.0,14.408,0.13757,0.0029424,41989.0,406.78,167880.0,331.28,0.039106999999999996,3.0
Row57,38170.0,448.92,5.2787,1.082,37346.0,41620.0,872.23,311.19,0.84926,2623600000.0,10804000.0,13.777000000000001,0.14924,0.0049478000000000005,37369.0,382.32,149970.0,311.19,0.061784000000000006,3.0
Row58,28454.0,394.25,8.8003,1.0515,28098.0,29878.0,92.446,303.04,0.37937,2038600000.0,8357200.0,13.935,0.1348,0.0038759999999999997,28569.0,335.85,113480.0,303.04,0.030076,3.0
Row59,26916.0,594.15,10.057,1.0557,26575.0,28331.0,296.82,362.65,0.6208100000000001,1588100000.0,7136700.0,15.137,0.13008,0.0029536,26751.0,323.94,106490.0,362.65,0.027913,3.0
Row60,29695.0,574.72,12.186,1.0893,29067.0,32311.0,110.64,309.48,0.41700000000000004,2171000000.0,8760900.0,13.793,0.15088,0.0042283,29496.0,342.2,117860.0,309.48,0.023033,3.0
Row61,35174.0,160.98,2.9082,1.0973,34369.0,38392.0,553.38,275.69,0.8053899999999999,2496400000.0,10223000.0,12.624,0.16243,0.0062992,35865.0,372.27,141070.0,275.69,0.10764000000000001,3.0
Row62,33811.0,126.44,2.5668,1.0738,33188.0,36302.0,638.91,329.96,0.80699,2264700000.0,9614900.0,14.062999999999999,0.14662,0.008368200000000001,35014.0,365.22,136250.0,329.96,0.11778,3.0
Row63,35951.0,1117.6,11.662,1.1063,35108.0,39591.0,1236.2,237.4,0.9125700000000001,2199500000.0,9714400.0,12.034,0.16338,0.0019007000000000002,35723.0,370.07,142140.0,237.4,0.035989,3.0
Row64,29086.0,1656.5,17.451,1.0916,28451.0,31722.0,1025.6,220.57,0.9029299999999999,1416300000.0,6993900.0,11.557,0.16247999999999999,0.0017143,28948.0,333.32,115430.0,220.57,0.028801,3.0
Row65,33802.0,1452.7,14.478,1.0836,33108.0,36753.0,991.0,274.2,0.87866,2083800000.0,9207400.0,12.960999999999999,0.15,0.0018122,34047.0,362.73,135810.0,274.2,0.028643000000000002,3.0
Row66,34234.0,1362.7,20.357,1.0712,33661.0,36733.0,311.98,552.53,0.53045,2689400000.0,10490000.0,18.023,0.12568,0.0017828,34143.0,366.76,136320.0,552.53,0.014472,3.0
Row67,34760.0,1832.7,24.357,1.0468,34372.0,36336.0,236.14,721.99,0.39546,2811200000.0,10800000.0,20.724,0.10999,0.0013468,34822.0,370.11,138660.0,721.99,0.011804,3.0
Row68,26972.0,1034.2,12.404000000000002,1.0587,26572.0,28600.0,503.78,558.15,0.6439,1423500000.0,6717600.0,18.331,0.12005,0.001907,26997.0,322.85,106810.0,558.15,0.025582,3.0
Row69,26842.0,657.88,9.0736,1.0823,26335.0,29013.0,565.42,252.45,0.8177,1337600000.0,6473000.0,12.427999999999999,0.1527,0.0025974,26454.0,321.6,105940.0,252.45,0.038839,3.0
Row70,27037.0,875.0,11.902000000000001,1.0871,26488.0,29427.0,429.11,269.86,0.76159,1447800000.0,6792100.0,12.806,0.15522,0.0022093000000000004,27051.0,324.42,107240.0,269.86,0.029658999999999998,3.0
Row71,31706.0,784.61,14.879000000000001,1.0819,31085.0,34321.0,188.58,265.26,0.5871,2363400000.0,9452300.0,12.788,0.15106,0.0027890000000000002,31574.0,353.62,126080.0,265.26,0.021069,3.0
Row72,22536.0,845.76,15.28,1.0739,22140.0,24207.0,188.72,344.94,0.52262,1132900000.0,5492500.0,14.627,0.13938,0.0031829000000000002,22478.0,297.06,89351.0,344.94,0.020447999999999997,3.0
Row73,22237.0,1089.8,17.262,1.0645,21878.0,23695.0,300.88,330.63,0.64548,1025800000.0,5203100.0,14.369000000000002,0.1382,0.0020298,22072.0,294.33,88171.0,330.63,0.019443000000000002,3.0
Row74,22314.0,566.37,11.707,1.0972,21818.0,24472.0,135.34,324.13,0.45508000000000004,1151000000.0,5526600.0,14.057,0.14669000000000001,0.0047129,22174.0,295.77,88349.0,324.13,0.024825999999999997,3.0
Row75,43959.0,964.5,15.29,1.0705,43217.0,47158.0,343.02,348.83,0.6631100000000001,4471900000.0,15344000.0,14.555,0.13965,0.0020279,43707.0,416.14,174900.0,348.83,0.021481999999999998,3.0
Row76,42715.0,995.98,15.037,1.0759999999999998,41911.0,46127.0,545.34,405.67,0.7291300000000001,4043400000.0,14417000.0,15.565999999999999,0.13374,0.0034188,42809.0,409.51,170290.0,405.67,0.02289,3.0
Row77,39729.0,620.9,7.7308,1.0776,38938.0,43428.0,894.28,567.28,0.75953,3260300000.0,12564000.0,18.17,0.12788,0.0039793,40406.0,395.23,160360.0,567.28,0.041152,3.0
