,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Row31,4.9906000000000006e-05,21596.0,0.9848600000000001,4.912e-05,5.304899999999999e-05,21292.0,22814.0,117.32,485.12,0.32633,1092200000.0,5276500.0,17.338,0.1271,21655.0,291.12,85710.0,485.12,-0.025992,0.9388,0.99275,0.0011685999999999999,4.4415e-07,1.0
Row32,5.2521999999999996e-05,21378.0,0.9869899999999999,5.1838999999999996e-05,5.5256999999999996e-05,21099.0,22494.0,232.06,623.11,0.42699,990090000.0,4998100.0,19.463,0.11341,21267.0,288.19,84607.0,623.11,-0.023377000000000002,0.93216,0.99079,0.0011547,3.1168000000000005e-07,1.0
Row33,4.8667e-05,22042.0,0.98456,4.79e-05,5.1918e-05,21716.0,23416.0,112.33,478.32,0.31961999999999996,1151300000.0,5509600.0,17.112000000000002,0.12825,22107.0,294.71,87788.0,478.32,-0.026479000000000003,0.9395700000000001,0.99287,0.0011857,1.8721e-07,1.0
Row34,5.5352e-05,19323.0,0.9787799999999999,5.4168999999999996e-05,6.0243e-05,18923.0,20963.0,162.62,322.3,0.50237,839250000.0,4360800.0,14.182,0.14368,19299.0,275.14,76680.0,322.3,-0.030862999999999998,0.9490200000000001,0.99516,0.0012547,1.8086e-07,1.0
Row35,4.5098999999999996e-05,24024.0,0.98362,4.4373000000000004e-05,4.8033999999999994e-05,23627.0,25634.0,280.12,354.01,0.6128100000000001,1244700000.0,5969200.0,14.987,0.13279000000000002,24176.0,307.88,96268.0,354.01,-0.029352,0.9463,0.99469,0.0010234999999999999,3.1428000000000003e-07,1.0
Row36,3.8845e-05,26694.0,0.98413,3.824e-05,4.1382e-05,26268.0,28473.0,83.76799999999999,278.79,0.37566,1827100000.0,7677700.0,13.312999999999999,0.14189000000000002,26936.0,326.36,107130.0,278.79,-0.033123,0.95185,0.9958,0.0010019,2.3287e-07,1.0
Row37,5.0292e-05,22120.0,0.98601,4.9622e-05,5.3023000000000004e-05,21807.0,23390.0,221.85,608.2,0.42181,1067200000.0,5277300.0,19.598,0.11281,22053.0,293.35,87555.0,608.2,-0.022616999999999998,0.9315100000000001,0.99097,0.0011324999999999998,2.4775e-07,1.0
Row38,4.9392e-05,22418.0,0.9846600000000001,4.8682e-05,5.232e-05,22058.0,23881.0,296.63,444.12,0.57196,1052100000.0,5270700.0,16.564,0.12625999999999998,22280.0,295.41,88900.0,444.12,-0.026836000000000002,0.94127,0.9933700000000001,0.0011543,2.0758000000000004e-07,1.0
Row39,4.3184e-05,24922.0,0.98506,4.251e-05,4.5991999999999996e-05,24573.0,26376.0,239.85,396.8,0.54752,1360200000.0,6317600.0,15.811,0.12835,24714.0,312.1,98767.0,396.8,-0.027971,0.94363,0.99406,0.0010688,1.9102e-07,1.0
Row40,5.4797e-05,20577.0,0.9809100000000001,5.3879e-05,5.8708999999999996e-05,20110.0,22568.0,361.11,614.74,0.54032,902860000.0,4701200.0,18.777,0.12322999999999999,20828.0,283.43,82397.0,614.74,-0.024571,0.9346200000000001,0.9910100000000001,0.0012064,1.968e-07,1.0
Row41,6.7066e-05,16434.0,0.9875799999999999,6.6283e-05,7.0195e-05,16225.0,17272.0,128.92,505.92,0.33762,607480000.0,3422200.0,17.605999999999998,0.11762,16385.0,253.03,65053.0,505.92,-0.026010000000000002,0.9379700000000001,0.9924799999999999,0.0013800000000000002,3.6306999999999993e-07,1.0
Row42,6.858399999999999e-05,16096.0,0.9859,6.7653e-05,7.25e-05,15869.0,17032.0,153.56,431.95,0.41557,567400000.0,3274900.0,16.405,0.12593,16028.0,250.38,63742.0,431.95,-0.027228,0.94175,0.99354,0.0014344000000000002,3.2585e-07,1.0
Row43,2.8076e-05,37923.0,0.9900700000000001,2.782e-05,2.9103000000000002e-05,37524.0,39516.0,115.43,850.2,0.21361,3547600000.0,12680000.0,22.99,0.09896,38040.0,387.23,151270.0,850.2,-0.020485,0.92119,0.98751,0.00084733,1.4991e-07,3.0
Row44,2.8647e-05,37597.0,0.9877,2.8294e-05,3.0061999999999998e-05,37141.0,39422.0,129.38,927.41,0.21833000000000002,3450400000.0,12459000.0,24.372,0.09539500000000001,37622.0,384.6,149370.0,927.41,-0.019583,0.9167299999999999,0.98644,0.00087071,1.3111e-07,3.0
Row45,2.9398000000000002e-05,37024.0,0.9909,2.9105e-05,3.071e-05,36710.0,38447.0,251.48,904.55,0.35762,3170800000.0,11807000.0,23.938000000000002,0.09487999999999999,36641.0,380.17,146440.0,904.55,-0.019554,0.9181600000000001,0.9867299999999999,0.00091494,1.8555e-07,3.0
Row46,3.2612e-05,33589.0,0.9604600000000001,3.1695999999999996e-05,4.944e-05,31601.0,97963.0,1032.0,358.79,0.85236,2492400000.0,10312000.0,13.13,0.23455,36902.0,378.74,147940.0,358.79,-0.039864,0.95345,0.99471,0.00088449,2.5296e-07,3.0
Row47,3.0068e-05,37043.0,0.9776600000000001,2.9417e-05,3.2809000000000004e-05,36180.0,40749.0,785.63,316.4,0.83249,2656300000.0,10840000.0,13.665,0.15334,37439.0,381.69,149150.0,316.4,-0.032414,0.95094,0.99526,0.00085377,1.2203e-07,3.0
Row48,3.7935e-05,30039.0,0.98125,3.7186999999999995e-05,4.1123e-05,29505.0,32306.0,821.02,246.96,0.8695,1664300000.0,7700900.0,12.332,0.15579,30135.0,341.39,120080.0,246.96,-0.035503,0.95525,0.9962799999999999,0.0009582000000000001,2.1903000000000002e-07,3.0
Row49,2.4602e-05,42607.0,0.9771200000000001,2.4016999999999997e-05,2.7083e-05,41662.0,46667.0,371.2,201.94,0.7878,4024500000.0,14310000.0,11.284,0.16469,42773.0,410.31,170040.0,201.94,-0.038855,0.95875,0.99695,0.00080323,2.4629e-07,3.0
Row50,2.2778e-05,46118.0,0.9805,2.2369000000000002e-05,2.4480999999999998e-05,45167.0,50108.0,405.2,205.98,0.79966,4895200000.0,16564000.0,11.450999999999999,0.15987,46803.0,428.89,185780.0,205.98,-0.038560000000000004,0.95816,0.9968899999999999,0.00078873,2.1420999999999998e-07,3.0
Row51,1.9536e-05,51980.0,0.97336,1.9018e-05,2.1673e-05,50595.0,57731.0,121.33,118.29,0.6723399999999999,7171100000.0,21360000.0,8.6491,0.19079000000000002,52377.0,456.82,209300.0,118.29,-0.050055,0.9679,0.99821,0.0007112,1.3935000000000001e-07,3.0
Row52,3.2715e-05,31576.0,0.98125,3.2113e-05,3.5274e-05,30975.0,34154.0,92.536,297.02,0.38392,2520900000.0,9780000.0,13.675999999999998,0.14545,31533.0,353.63,125730.0,297.02,-0.03193,0.9506700000000001,0.9955299999999999,0.0009423999999999999,2.3761e-07,3.0
Row53,3.3796999999999995e-05,30663.0,0.9797299999999999,3.3097e-05,3.6698e-05,30064.0,33133.0,111.78,289.2,0.43604,2310600000.0,9183100.0,13.504000000000001,0.1465,30487.0,347.48,121490.0,289.2,-0.032649,0.95124,0.99565,0.00095545,1.9973e-07,3.0
Row54,3.0905e-05,33153.0,0.97367,3.0075e-05,3.4312e-05,32305.0,36643.0,91.89,213.05,0.46331999999999995,2814900000.0,10537000.0,11.495,0.16752999999999998,32953.0,361.98,131620.0,213.05,-0.037658,0.9580700000000001,0.9967799999999999,0.00096568,1.2031e-07,3.0
Row55,2.4683e-05,43984.0,0.97925,2.4171999999999998e-05,2.6763e-05,43060.0,47786.0,647.36,359.8,0.78256,3869000000.0,14171000.0,15.02,0.13828,43602.0,413.43,173880.0,359.8,-0.029212000000000002,0.94624,0.9946,0.00082061,1.7352e-07,3.0
Row56,2.5171e-05,42536.0,0.9837600000000001,2.4756999999999997e-05,2.6938000000000002e-05,41852.0,45394.0,519.97,331.28,0.75848,3720700000.0,13593000.0,14.408,0.13757,41989.0,406.78,167880.0,331.28,-0.030769,0.94826,0.99503,0.00082389,1.8148e-07,3.0
Row57,2.938e-05,38170.0,0.98009,2.8797e-05,3.1748e-05,37346.0,41620.0,872.23,311.19,0.84926,2623600000.0,10804000.0,13.777000000000001,0.14924,37369.0,382.32,149970.0,311.19,-0.032054,0.95045,0.9953200000000001,0.00091757,2.9159000000000003e-07,3.0
Row58,3.6453000000000005e-05,28454.0,0.9871200000000001,3.5971e-05,3.8382e-05,28098.0,29878.0,92.446,303.04,0.37937,2038600000.0,8357200.0,13.935,0.1348,28569.0,335.85,113480.0,303.04,-0.032187,0.9497399999999999,0.99544,0.00099041,3.0045e-07,3.0
Row59,4.0397e-05,26916.0,0.9865299999999999,3.9828e-05,4.2736000000000006e-05,26575.0,28331.0,296.82,362.65,0.6208100000000001,1588100000.0,7136700.0,15.137,0.13008,26751.0,323.94,106490.0,362.65,-0.029230000000000003,0.9458200000000001,0.99456,0.0010373,2.9971e-07,3.0
Row60,3.4989e-05,29695.0,0.9786,3.4246e-05,3.8095e-05,29067.0,32311.0,110.64,309.48,0.41700000000000004,2171000000.0,8760900.0,13.793,0.15088,29496.0,342.2,117860.0,309.48,-0.032054,0.95037,0.99535,0.00097351,1.9597e-07,3.0
Row61,3.091e-05,35174.0,0.97567,3.0124e-05,3.4056e-05,34369.0,38392.0,553.38,275.69,0.8053899999999999,2496400000.0,10223000.0,12.624,0.16243,35865.0,372.27,141070.0,275.69,-0.036044,0.9544600000000001,0.99587,0.00087962,1.3877000000000002e-07,3.0
Row62,3.2936e-05,33811.0,0.98154,3.2322e-05,3.5393000000000005e-05,33188.0,36302.0,638.91,329.96,0.80699,2264700000.0,9614900.0,14.062999999999999,0.14662,35014.0,365.22,136250.0,329.96,-0.033648000000000004,0.94958,0.99505,0.00093609,1.032e-07,3.0
Row63,3.2878e-05,35951.0,0.97555,3.2041999999999996e-05,3.6543e-05,35108.0,39591.0,1236.2,237.4,0.9125700000000001,2199500000.0,9714400.0,12.034,0.16338,35723.0,370.07,142140.0,237.4,-0.036042000000000005,0.95629,0.9964200000000001,0.00090141,1.9848e-07,3.0
Row64,4.0419e-05,29086.0,0.97806,3.9505e-05,4.4257e-05,28451.0,31722.0,1025.6,220.57,0.9029299999999999,1416300000.0,6993900.0,11.557,0.16247999999999999,28948.0,333.32,115430.0,220.57,-0.038021,0.9579200000000001,0.9966700000000001,0.0010012,2.1245999999999998e-07,3.0
Row65,3.453e-05,33802.0,0.98019,3.3876e-05,3.7285e-05,33108.0,36753.0,991.0,274.2,0.87866,2083800000.0,9207400.0,12.960999999999999,0.15,34047.0,362.73,135810.0,274.2,-0.033942,0.95315,0.99587,0.00088729,1.5528e-07,3.0
Row66,3.1666e-05,34234.0,0.9832799999999999,3.1151999999999996e-05,3.3828e-05,33661.0,36733.0,311.98,552.53,0.53045,2689400000.0,10490000.0,18.023,0.12568,34143.0,366.76,136320.0,552.53,-0.024881999999999998,0.93689,0.99182,0.00094447,1.6338e-07,3.0
Row67,3.103e-05,34760.0,0.98845,3.066e-05,3.2526999999999995e-05,34372.0,36336.0,236.14,721.99,0.39546,2811200000.0,10800000.0,20.724,0.10999,34822.0,370.11,138660.0,721.99,-0.021835,0.92842,0.98939,0.00088682,1.8140999999999998e-07,3.0
Row68,4.2165e-05,26972.0,0.9856,4.158e-05,4.4553e-05,26572.0,28600.0,503.78,558.15,0.6439,1423500000.0,6717600.0,18.331,0.12005,26997.0,322.85,106810.0,558.15,-0.024472,0.93578,0.9917299999999999,0.0010423,2.6043e-07,3.0
Row69,4.1511e-05,26842.0,0.98062,4.0704e-05,4.491e-05,26335.0,29013.0,565.42,252.45,0.8177,1337600000.0,6473000.0,12.427999999999999,0.1527,26454.0,321.6,105940.0,252.45,-0.035694,0.95494,0.9962,0.001051,2.0476e-07,3.0
Row70,4.0416e-05,27037.0,0.9800399999999999,3.9619e-05,4.3923999999999995e-05,26488.0,29427.0,429.11,269.86,0.76159,1447800000.0,6792100.0,12.806,0.15522,27051.0,324.42,107240.0,269.86,-0.034213,0.9537,0.9959399999999999,0.0010187000000000002,1.9317e-07,3.0
Row71,3.294e-05,31706.0,0.98055,3.2315e-05,3.5566e-05,31085.0,34321.0,188.58,265.26,0.5871,2363400000.0,9452300.0,12.788,0.15106,31574.0,353.62,126080.0,265.26,-0.034455,0.9537100000000001,0.9960100000000001,0.00095304,2.1204e-07,3.0
Row72,4.7528e-05,22536.0,0.9824700000000001,4.6711e-05,5.0963999999999995e-05,22140.0,24207.0,188.72,344.94,0.52262,1132900000.0,5492500.0,14.627,0.13938,22478.0,297.06,89351.0,344.94,-0.030059,0.94757,0.99482,0.0011422000000000001,4.791300000000001e-07,3.0
Row73,4.9405e-05,22237.0,0.9841200000000001,4.8641000000000004e-05,5.2508e-05,21878.0,23695.0,300.88,330.63,0.64548,1025800000.0,5203100.0,14.369000000000002,0.1382,22072.0,294.33,88171.0,330.63,-0.030779,0.9484,0.9950399999999999,0.0012050000000000001,4.6768e-07,3.0
Row74,4.7492e-05,22314.0,0.97736,4.6413000000000004e-05,5.206e-05,21818.0,24472.0,135.34,324.13,0.45508000000000004,1151000000.0,5526600.0,14.057,0.14669000000000001,22174.0,295.77,88349.0,324.13,-0.031505,0.94952,0.9951399999999999,0.0011555,3.235e-07,3.0
Row75,2.4005e-05,43959.0,0.98335,2.3619000000000002e-05,2.5619e-05,43217.0,47158.0,343.02,348.83,0.6631100000000001,4471900000.0,15344000.0,14.555,0.13965,43707.0,416.14,174900.0,348.83,-0.030371,0.94789,0.99477,0.00081263,1.6397000000000003e-07,3.0
Row76,2.5546999999999998e-05,42715.0,0.98206,2.5116999999999997e-05,2.7361999999999997e-05,41911.0,46127.0,545.34,405.67,0.7291300000000001,4043400000.0,14417000.0,15.565999999999999,0.13374,42809.0,409.51,170290.0,405.67,-0.02877,0.9446399999999999,0.9939600000000001,0.00081021,1.5448e-07,3.0
Row77,2.9083000000000003e-05,39729.0,0.98298,2.8683000000000003e-05,3.0859000000000004e-05,38938.0,43428.0,894.28,567.28,0.75953,3260300000.0,12564000.0,18.17,0.12788,40406.0,395.23,160360.0,567.28,-0.024861,0.9365,0.99161,0.0008514,2.3199999999999999e-07,3.0
