,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Row51,51980.0,291.61,50595.0,57731.0,121.33,118.29,7171100000.0,21360000.0,8.6491,52377.0,456.82,209300.0,118.29,3.0
Row52,31576.0,412.76,30975.0,34154.0,92.536,297.02,2520900000.0,9780000.0,13.675999999999998,31533.0,353.63,125730.0,297.02,3.0
Row53,30663.0,399.76,30064.0,33133.0,111.78,289.2,2310600000.0,9183100.0,13.504000000000001,30487.0,347.48,121490.0,289.2,3.0
Row54,33153.0,362.32,32305.0,36643.0,91.89,213.05,2814900000.0,10537000.0,11.495,32953.0,361.98,131620.0,213.05,3.0
Row55,43984.0,524.92,43060.0,47786.0,647.36,359.8,3869000000.0,14171000.0,15.02,43602.0,413.43,173880.0,359.8,3.0
Row56,42536.0,590.3,41852.0,45394.0,519.97,331.28,3720700000.0,13593000.0,14.408,41989.0,406.78,167880.0,331.28,3.0
Row57,38170.0,448.92,37346.0,41620.0,872.23,311.19,2623600000.0,10804000.0,13.777000000000001,37369.0,382.32,149970.0,311.19,3.0
Row58,28454.0,394.25,28098.0,29878.0,92.446,303.04,2038600000.0,8357200.0,13.935,28569.0,335.85,113480.0,303.04,3.0
Row59,26916.0,594.15,26575.0,28331.0,296.82,362.65,1588100000.0,7136700.0,15.137,26751.0,323.94,106490.0,362.65,3.0
Row60,29695.0,574.72,29067.0,32311.0,110.64,309.48,2171000000.0,8760900.0,13.793,29496.0,342.2,117860.0,309.48,3.0
Row61,35174.0,160.98,34369.0,38392.0,553.38,275.69,2496400000.0,10223000.0,12.624,35865.0,372.27,141070.0,275.69,3.0
Row62,33811.0,126.44,33188.0,36302.0,638.91,329.96,2264700000.0,9614900.0,14.062999999999999,35014.0,365.22,136250.0,329.96,3.0
Row63,35951.0,1117.6,35108.0,39591.0,1236.2,237.4,2199500000.0,9714400.0,12.034,35723.0,370.07,142140.0,237.4,3.0
Row64,29086.0,1656.5,28451.0,31722.0,1025.6,220.57,1416300000.0,6993900.0,11.557,28948.0,333.32,115430.0,220.57,3.0
Row65,33802.0,1452.7,33108.0,36753.0,991.0,274.2,2083800000.0,9207400.0,12.960999999999999,34047.0,362.73,135810.0,274.2,3.0
Row66,34234.0,1362.7,33661.0,36733.0,311.98,552.53,2689400000.0,10490000.0,18.023,34143.0,366.76,136320.0,552.53,3.0
Row67,34760.0,1832.7,34372.0,36336.0,236.14,721.99,2811200000.0,10800000.0,20.724,34822.0,370.11,138660.0,721.99,3.0
Row68,26972.0,1034.2,26572.0,28600.0,503.78,558.15,1423500000.0,6717600.0,18.331,26997.0,322.85,106810.0,558.15,3.0
Row69,26842.0,657.88,26335.0,29013.0,565.42,252.45,1337600000.0,6473000.0,12.427999999999999,26454.0,321.6,105940.0,252.45,3.0
Row70,27037.0,875.0,26488.0,29427.0,429.11,269.86,1447800000.0,6792100.0,12.806,27051.0,324.42,107240.0,269.86,3.0
Row71,31706.0,784.61,31085.0,34321.0,188.58,265.26,2363400000.0,9452300.0,12.788,31574.0,353.62,126080.0,265.26,3.0
Row72,22536.0,845.76,22140.0,24207.0,188.72,344.94,1132900000.0,5492500.0,14.627,22478.0,297.06,89351.0,344.94,3.0
Row73,22237.0,1089.8,21878.0,23695.0,300.88,330.63,1025800000.0,5203100.0,14.369000000000002,22072.0,294.33,88171.0,330.63,3.0
Row74,22314.0,566.37,21818.0,24472.0,135.34,324.13,1151000000.0,5526600.0,14.057,22174.0,295.77,88349.0,324.13,3.0
Row75,43959.0,964.5,43217.0,47158.0,343.02,348.83,4471900000.0,15344000.0,14.555,43707.0,416.14,174900.0,348.83,3.0
Row76,42715.0,995.98,41911.0,46127.0,545.34,405.67,4043400000.0,14417000.0,15.565999999999999,42809.0,409.51,170290.0,405.67,3.0
Row77,39729.0,620.9,38938.0,43428.0,894.28,567.28,3260300000.0,12564000.0,18.17,40406.0,395.23,160360.0,567.28,3.0
