,0,1,2,3,4,5,6,7,8,9,10
Row48,30039.0,854.32,29505.0,32306.0,246.96,1664300000.0,7700900.0,30135.0,120080.0,246.96,3.0
Row49,42607.0,334.9,41662.0,46667.0,201.94,4024500000.0,14310000.0,42773.0,170040.0,201.94,3.0
Row50,46118.0,303.44,45167.0,50108.0,205.98,4895200000.0,16564000.0,46803.0,185780.0,205.98,3.0
Row51,51980.0,291.61,50595.0,57731.0,118.29,7171100000.0,21360000.0,52377.0,209300.0,118.29,3.0
Row52,31576.0,412.76,30975.0,34154.0,297.02,2520900000.0,9780000.0,31533.0,125730.0,297.02,3.0
Row53,30663.0,399.76,30064.0,33133.0,289.2,2310600000.0,9183100.0,30487.0,121490.0,289.2,3.0
Row54,33153.0,362.32,32305.0,36643.0,213.05,2814900000.0,10537000.0,32953.0,131620.0,213.05,3.0
Row55,43984.0,524.92,43060.0,47786.0,359.8,3869000000.0,14171000.0,43602.0,173880.0,359.8,3.0
Row56,42536.0,590.3,41852.0,45394.0,331.28,3720700000.0,13593000.0,41989.0,167880.0,331.28,3.0
Row57,38170.0,448.92,37346.0,41620.0,311.19,2623600000.0,10804000.0,37369.0,149970.0,311.19,3.0
Row58,28454.0,394.25,28098.0,29878.0,303.04,2038600000.0,8357200.0,28569.0,113480.0,303.04,3.0
Row59,26916.0,594.15,26575.0,28331.0,362.65,1588100000.0,7136700.0,26751.0,106490.0,362.65,3.0
Row60,29695.0,574.72,29067.0,32311.0,309.48,2171000000.0,8760900.0,29496.0,117860.0,309.48,3.0
Row61,35174.0,160.98,34369.0,38392.0,275.69,2496400000.0,10223000.0,35865.0,141070.0,275.69,3.0
Row62,33811.0,126.44,33188.0,36302.0,329.96,2264700000.0,9614900.0,35014.0,136250.0,329.96,3.0
Row63,35951.0,1117.6,35108.0,39591.0,237.4,2199500000.0,9714400.0,35723.0,142140.0,237.4,3.0
Row64,29086.0,1656.5,28451.0,31722.0,220.57,1416300000.0,6993900.0,28948.0,115430.0,220.57,3.0
Row65,33802.0,1452.7,33108.0,36753.0,274.2,2083800000.0,9207400.0,34047.0,135810.0,274.2,3.0
Row66,34234.0,1362.7,33661.0,36733.0,552.53,2689400000.0,10490000.0,34143.0,136320.0,552.53,3.0
Row67,34760.0,1832.7,34372.0,36336.0,721.99,2811200000.0,10800000.0,34822.0,138660.0,721.99,3.0
Row68,26972.0,1034.2,26572.0,28600.0,558.15,1423500000.0,6717600.0,26997.0,106810.0,558.15,3.0
Row69,26842.0,657.88,26335.0,29013.0,252.45,1337600000.0,6473000.0,26454.0,105940.0,252.45,3.0
Row70,27037.0,875.0,26488.0,29427.0,269.86,1447800000.0,6792100.0,27051.0,107240.0,269.86,3.0
Row71,31706.0,784.61,31085.0,34321.0,265.26,2363400000.0,9452300.0,31574.0,126080.0,265.26,3.0
Row72,22536.0,845.76,22140.0,24207.0,344.94,1132900000.0,5492500.0,22478.0,89351.0,344.94,3.0
Row73,22237.0,1089.8,21878.0,23695.0,330.63,1025800000.0,5203100.0,22072.0,88171.0,330.63,3.0
Row74,22314.0,566.37,21818.0,24472.0,324.13,1151000000.0,5526600.0,22174.0,88349.0,324.13,3.0
Row75,43959.0,964.5,43217.0,47158.0,348.83,4471900000.0,15344000.0,43707.0,174900.0,348.83,3.0
Row76,42715.0,995.98,41911.0,46127.0,405.67,4043400000.0,14417000.0,42809.0,170290.0,405.67,3.0
Row77,39729.0,620.9,38938.0,43428.0,567.28,3260300000.0,12564000.0,40406.0,160360.0,567.28,3.0
